,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
ScalDMP_d10,7.0064e-01(7.2e-04),6.7990e-01(2.4e-03) +,6.9382e-01(1.1e-03) +,6.9860e-01(9.8e-04) +,*7.0479e-01(5.5e-04) -,6.1652e-01(5.4e-03) +,6.9920e-01(9.5e-04) +
ScalDMP_d100,*4.4565e-01(2.9e-02),0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +
ScalDMP_d30,*6.9268e-01(7.4e-04),3.7926e-01(8.3e-02) +,6.2748e-01(9.2e-03) +,5.6566e-01(1.9e-02) +,5.7348e-01(1.9e-02) +,4.0232e-01(2.7e-02) +,6.2837e-01(9.2e-03) +
ScalDMP_d5,7.0403e-01(3.3e-04),6.9490e-01(1.3e-03) +,7.0208e-01(5.6e-04) +,7.0357e-01(4.6e-04) +,*7.0650e-01(1.2e-04) -,6.8117e-01(2.5e-03) +,7.0436e-01(3.2e-04) -
ScalDMP_d50,*6.7175e-01(5.6e-03),6.2780e-03(1.6e-02) +,3.2636e-01(4.0e-02) +,1.3186e-02(1.8e-02) +,8.7706e-03(1.2e-02) +,9.8224e-02(3.3e-02) +,3.2921e-01(4.5e-02) +
ScalMMF2_d10,*8.6375e-01(5.3e-03),8.3869e-01(6.8e-03) +,8.1729e-01(5.2e-02) +,8.3201e-01(2.6e-02) +,8.1569e-01(4.4e-02) +,4.0503e-01(4.9e-02) +,8.1705e-01(5.0e-02) +
ScalMMF2_d100,*2.5163e-01(1.4e-01),0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +
ScalMMF2_d30,6.5399e-01(8.0e-02),4.6098e-01(5.8e-02) +,*6.8267e-01(8.1e-02) =,5.7633e-01(1.1e-01) +,5.8852e-01(1.2e-01) =,1.0782e-01(6.1e-04) +,6.7591e-01(7.7e-02) =
ScalMMF2_d5,*8.6979e-01(9.7e-04),8.6234e-01(2.4e-03) +,8.6018e-01(1.4e-02) +,8.6162e-01(1.0e-02) +,8.5410e-01(1.6e-02) +,6.4731e-01(4.7e-02) +,8.6323e-01(1.2e-02) =
ScalMMF2_d50,*5.3441e-01(1.1e-01),5.0234e-02(5.9e-02) +,3.4650e-01(8.1e-02) +,1.5777e-01(8.3e-02) +,1.7344e-01(8.7e-02) +,6.9084e-02(7.1e-03) +,3.2577e-01(8.6e-02) +
