,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
ScalDMP_d10,2.8523e+00(2.5e+00),4.3288e-01(1.2e+00) =,3.8703e+00(2.1e+00) +,4.6831e+00(1.2e+00) +,4.8405e+00(8.9e-01) +,*2.6695e-01(2.2e-02) -,4.3505e+00(1.6e+00) =
ScalDMP_d100,*5.2703e+00(3.0e-02),6.3175e+00(7.9e-01) +,8.1196e+00(5.5e-01) +,9.4479e+00(9.6e-01) +,1.0076e+01(3.3e-01) +,6.1428e+00(1.5e+00) +,8.1196e+00(5.5e-01) +
ScalDMP_d30,5.0158e+00(5.1e-03),3.3216e+00(2.1e+00) =,4.7662e+00(1.2e+00) +,5.1418e+00(3.0e-02) +,5.1387e+00(3.1e-02) +,*2.0811e+00(2.1e+00) -,5.0852e+00(1.8e-02) +
ScalDMP_d5,5.2613e-01(1.5e+00),*5.8998e-02(2.6e-03) +,1.7388e+00(2.3e+00) +,2.2439e+00(2.4e+00) +,3.6713e+00(2.2e+00) +,9.9235e-02(7.6e-03) +,2.0926e+00(2.4e+00) +
ScalDMP_d50,5.0462e+00(1.3e-02),4.6724e+00(1.5e+00) =,5.3925e+00(5.4e-02) +,5.8469e+00(1.2e-01) +,5.9043e+00(1.4e-01) +,*3.1605e+00(2.0e+00) -,5.3915e+00(6.0e-02) +
ScalMMF2_d10,2.2823e-01(1.1e-01),*1.5294e-01(5.7e-02) -,2.6347e-01(1.3e-01) =,2.3962e-01(8.0e-02) =,2.7036e-01(9.8e-02) =,5.6591e-01(8.4e-02) +,2.5203e-01(1.2e-01) =
ScalMMF2_d100,*8.8723e-01(1.6e-01),1.5588e+00(7.8e-02) +,1.6114e+00(1.0e-01) +,1.7859e+00(8.0e-02) +,1.7822e+00(1.1e-01) +,1.5150e+00(1.6e-02) +,1.6310e+00(7.8e-02) +
ScalMMF2_d30,5.7389e-01(1.4e-01),6.3199e-01(4.3e-02) =,*5.0023e-01(1.1e-01) =,5.8126e-01(1.4e-01) =,5.6769e-01(1.6e-01) =,1.2979e+00(3.0e-04) +,5.1961e-01(1.2e-01) =
ScalMMF2_d5,1.4481e-01(7.2e-02),*5.0096e-02(9.6e-03) -,1.7539e-01(1.2e-01) =,1.4550e-01(9.2e-02) =,1.8335e-01(1.0e-01) =,3.3143e-01(5.4e-02) +,1.7309e-01(1.1e-01) =
ScalMMF2_d50,*6.9428e-01(1.6e-01),1.0074e+00(6.0e-02) +,8.3556e-01(1.2e-01) +,9.6863e-01(1.0e-01) +,9.2732e-01(1.3e-01) +,1.3165e+00(3.2e-03) +,8.5095e-01(1.2e-01) +
