,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
ScalDMP_d10,*1.4723e-04(1.7e-04),1.3892e-04(3.7e-05) =,3.3091e-05(6.1e-05) =,8.2056e-06(2.5e-05) =,1.2199e-05(5.8e-05) +,5.9446e-05(4.3e-06) =,1.9407e-05(4.9e-05) =
ScalDMP_d100,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
ScalDMP_d30,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
ScalDMP_d5,*7.2811e-03(2.4e-03),4.2523e-03(1.9e-04) +,1.8129e-03(1.6e-03) +,1.2651e-03(1.4e-03) +,5.6929e-03(9.7e-03) =,2.5340e-03(1.9e-04) +,1.4119e-03(1.7e-03) +
ScalDMP_d50,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
ScalMMF2_d10,8.6218e-05(4.4e-05),*1.1198e-04(2.4e-05) =,7.0907e-05(3.6e-05) =,7.1138e-05(2.6e-05) =,6.3199e-05(2.6e-05) =,2.7367e-05(4.0e-06) +,7.0640e-05(2.9e-05) =
ScalMMF2_d100,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
ScalMMF2_d30,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
ScalMMF2_d5,2.3856e-03(1.5e-03),*5.1559e-03(7.6e-04) -,1.8818e-03(9.7e-04) =,2.1885e-03(1.0e-03) =,1.6436e-03(8.3e-04) =,7.4158e-04(1.5e-04) +,1.8562e-03(9.4e-04) =
ScalMMF2_d50,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
