,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
ScalDMP_d10,7.1427e-01(2.5e-01),*9.6398e-01(1.2e-01) -,5.8850e-01(1.7e-01) =,5.1760e-01(7.0e-02) -,5.1458e-01(7.9e-02) -,1.6298e-01(6.5e-02) +,5.4535e-01(1.2e-01) =
ScalDMP_d100,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
ScalDMP_d30,*5.0000e-01(0.0e+00),0.0000e+00(0.0e+00) +,1.9300e-02(4.8e-02) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,1.5850e-02(4.0e-02) +
ScalDMP_d5,9.5000e-01(1.5e-01),*1.0000e+00(0.0e+00) =,7.5075e-01(1.9e-01) +,6.7542e-01(1.7e-01) +,6.3327e-01(2.2e-01) +,9.8807e-01(1.7e-02) =,6.8442e-01(1.8e-01) +
ScalDMP_d50,*5.0000e-01(0.0e+00),0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +,0.0000e+00(0.0e+00) +
ScalMMF2_d10,2.1930e-01(7.8e-02),3.8333e-04(1.4e-03) +,2.1785e-01(3.9e-02) =,2.0938e-01(4.4e-02) =,*2.7857e-01(6.1e-02) =,1.0000e-03(2.2e-19) +,2.6495e-01(4.7e-02) =
ScalMMF2_d100,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
ScalMMF2_d30,0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,*3.5000e-04(2.3e-04) -,0.0000e+00(0.0e+00) =
ScalMMF2_d5,5.3087e-01(7.9e-02),*6.0817e-01(7.9e-02) -,5.1028e-01(7.4e-02) =,5.2415e-01(6.2e-02) =,4.7373e-01(6.0e-02) =,3.4167e-03(1.2e-02) +,5.2895e-01(7.1e-02) =
ScalMMF2_d50,*0.0000e+00(0.0e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
