,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
ScalDMP_d10,2.0000e+00(0.0e+00),2.0000e+00(0.0e+00) =,*2.0667e+00(2.5e-01) =,2.0333e+00(1.8e-01) =,2.0000e+00(0.0e+00) =,2.0000e+00(0.0e+00) =,2.0000e+00(0.0e+00) =
ScalDMP_d100,2.0000e+00(0.0e+00),*1.7400e+01(4.3e+00) -,8.6000e+00(6.7e+00) -,7.2333e+00(5.8e+00) -,1.0233e+01(6.7e+00) -,1.1333e+00(3.4e-01) +,8.6000e+00(6.7e+00) -
ScalDMP_d30,2.0333e+00(1.8e-01),2.1000e+00(3.0e-01) =,9.4667e+00(8.6e+00) -,1.7500e+01(5.3e+00) -,*1.7767e+01(4.1e+00) -,2.9667e+00(2.0e+00) =,7.3000e+00(8.1e+00) =
ScalDMP_d5,2.0000e+00(0.0e+00),2.0000e+00(0.0e+00) =,2.0667e+00(2.5e-01) =,*2.2333e+00(4.2e-01) =,2.0000e+00(0.0e+00) =,2.0000e+00(0.0e+00) =,2.0667e+00(2.5e-01) =
ScalDMP_d50,2.0000e+00(0.0e+00),1.5233e+01(6.8e+00) -,1.7500e+01(3.3e+00) -,1.6467e+01(4.2e+00) -,1.4067e+01(5.9e+00) -,2.1333e+00(9.9e-01) =,*1.7633e+01(2.9e+00) -
ScalMMF2_d10,2.6333e+00(7.5e-01),2.9000e+00(9.1e-01) =,2.9000e+00(7.9e-01) =,2.9333e+00(9.6e-01) =,*2.9667e+00(1.0e+00) =,2.4333e+00(6.7e-01) =,2.6333e+00(7.5e-01) =
ScalMMF2_d100,1.4967e+01(7.8e+00),*1.9167e+01(1.0e+00) =,7.3667e+00(5.5e+00) +,3.8333e+00(3.9e+00) +,3.6667e+00(2.4e+00) +,1.0000e+00(0.0e+00) +,6.1333e+00(3.7e+00) +
ScalMMF2_d30,3.4000e+00(4.5e+00),3.3000e+00(4.5e+00) =,1.5300e+01(7.5e+00) -,1.4333e+01(7.2e+00) -,6.0000e+00(4.8e+00) =,1.0000e+00(0.0e+00) +,*1.6067e+01(7.0e+00) -
ScalMMF2_d5,2.6000e+00(9.2e-01),3.9667e+00(9.1e-01) -,3.1000e+00(9.4e-01) =,4.3667e+00(1.4e+00) -,3.7000e+00(1.6e+00) =,*4.7333e+00(2.1e+00) -,3.3000e+00(1.0e+00) =
ScalMMF2_d50,1.0133e+01(8.6e+00),1.2567e+01(8.1e+00) =,1.3533e+01(5.9e+00) =,1.0033e+01(6.1e+00) =,4.3000e+00(3.6e+00) =,1.0000e+00(0.0e+00) +,*1.4733e+01(4.7e+00) =
