,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
ScalDMP_d10,8.1422e-03(2.2e-03),9.2270e-03(1.9e-03) =,8.8462e-03(1.1e-03) =,5.9686e-03(4.8e-04) -,6.3181e-03(3.1e-04) -,2.7128e-02(6.2e-03) +,*5.8592e-03(4.3e-04) -
ScalDMP_d100,*5.8922e-03(1.8e-03),3.6332e-02(1.1e-02) +,8.4973e-03(2.7e-03) +,7.0932e-03(2.4e-03) =,6.6692e-03(2.5e-03) =,2.1890e-02(4.2e-02) =,8.4973e-03(2.7e-03) +
ScalDMP_d30,7.7886e-03(1.2e-03),2.0209e-02(4.7e-03) +,8.2077e-03(1.0e-03) =,1.0081e-02(3.2e-03) +,8.4383e-03(1.8e-03) =,6.1038e-02(2.4e-02) +,*6.8130e-03(1.9e-03) =
ScalDMP_d5,5.6561e-03(8.1e-04),8.1948e-03(1.1e-03) +,7.5023e-03(9.4e-04) +,5.9518e-03(3.9e-04) =,6.4963e-03(3.2e-04) +,1.1968e-02(2.3e-03) +,*5.4497e-03(4.0e-04) =
ScalDMP_d50,9.5255e-03(2.7e-03),3.5456e-02(7.2e-03) +,*8.9452e-03(2.7e-03) =,1.2995e-02(6.8e-03) =,1.2700e-02(5.8e-03) =,1.1564e-01(8.7e-02) +,1.0658e-02(5.8e-03) =
ScalMMF2_d10,3.6113e-03(4.3e-04),5.7796e-03(9.5e-04) +,3.6251e-03(1.4e-03) =,4.8915e-03(2.2e-03) +,*2.5731e-03(1.4e-03) -,7.8996e-02(4.0e-02) +,3.1917e-03(1.1e-03) =
ScalMMF2_d100,1.9223e-04(4.2e-04),4.2491e-02(1.2e-02) +,5.8958e-03(2.7e-03) +,5.2969e-03(1.6e-03) +,4.5758e-03(1.8e-03) +,*0.0000e+00(0.0e+00) =,5.5933e-03(2.7e-03) +
ScalMMF2_d30,1.8761e-03(5.7e-04),1.4150e-02(2.3e-03) +,3.0416e-03(1.2e-03) +,3.1549e-03(1.2e-03) +,3.3308e-03(2.6e-03) +,*0.0000e+00(0.0e+00) -,2.8238e-03(1.2e-03) +
ScalMMF2_d5,3.3726e-03(2.6e-04),7.7249e-03(2.8e-03) +,3.5736e-03(5.4e-04) =,4.7729e-03(2.6e-03) +,3.3041e-03(1.9e-03) =,2.9026e-02(7.2e-03) +,*3.0300e-03(4.9e-04) -
ScalMMF2_d50,1.0878e-03(6.8e-04),2.3807e-02(4.9e-03) +,3.4409e-03(1.2e-03) +,2.0416e-02(8.5e-02) +,3.5116e-03(1.5e-03) +,*0.0000e+00(0.0e+00) -,3.8850e-03(1.4e-03) +
