backbone,problem,median_base,median_wfs,p_raw,p_holm,verdict
DN_NSGAII,MMF1,0.8718347428860114,0.871815735388433,0.6701805889606476,1.0,tie
DN_NSGAII,MMF2,0.872250179028685,0.8721700443386489,0.338741784915328,1.0,tie
DN_NSGAII,MMF3,0.8721554813479782,0.8721273894514532,0.6701805889606476,1.0,tie
DN_NSGAII,MMF4,0.5385155256270122,0.5385313486713397,0.6408254038542509,1.0,tie
DN_NSGAII,MMF5,0.8718877612312197,0.871886920606441,0.6408254038542509,1.0,tie
DN_NSGAII,MMF6,0.8719225734475559,0.8717005151976072,0.25343610532581806,1.0,tie
DN_NSGAII,MMF7,0.8706788885702507,0.8706870657370827,0.5027610473334789,1.0,tie
DN_NSGAII,MMF8,0.42019623902571956,0.420197822553115,0.935398668050766,1.0,tie
Omni,MMF1,0.8729470729037336,0.8728720441159821,0.17719271034002304,0.8859635517001152,tie
Omni,MMF2,0.8722249980190773,0.8721568815082994,0.338741784915328,1.0,tie
Omni,MMF3,0.8722287879853652,0.8722084982605595,0.46454504504799843,1.0,tie
Omni,MMF4,0.5394985635472462,0.5395585771146645,0.871207794174552,1.0,tie
Omni,MMF5,0.8728126626509924,0.8727777285159157,0.06666470877826214,0.4448954202234745,tie
Omni,MMF6,0.872883490225815,0.8727915534113976,0.015460003167390823,0.12368002533912659,tie
Omni,MMF7,0.8726840281662216,0.8726754210709826,0.46454504504799843,1.0,tie
Omni,MMF8,0.4213665735311741,0.4213432253745456,0.0635564886033535,0.4448954202234745,tie
MORingPSO,MMF1,0.8723961293531293,0.8723436740359598,0.5698575973510742,1.0,tie
MORingPSO,MMF2,0.7948614343016114,0.7948614343016114,1.0,1.0,tie
MORingPSO,MMF3,0.8107309632827957,0.8107309632827957,1.0,1.0,tie
MORingPSO,MMF4,0.5395663260270347,0.5395255010915336,0.0009517744183540344,0.007614195346832275,loss
MORingPSO,MMF5,0.8727120867312905,0.8726833515161172,0.39305018074810505,1.0,tie
MORingPSO,MMF6,0.8730420624001558,0.8730722929080541,0.31839608028531075,1.0,tie
MORingPSO,MMF7,0.8727278292424148,0.8726643903931297,0.0027663204818964005,0.019364243373274803,loss
MORingPSO,MMF8,0.41998861457206393,0.4199783494830962,0.11907656863331795,0.7144594117999077,tie
