backbone,problem,median_base,median_wfs,p_raw,p_holm,verdict
DN_NSGAII,MMF1,0.003132663579212449,0.0031385579932486016,1.0,1.0,tie
DN_NSGAII,MMF2,0.0030532926369591365,0.0031478670548705802,0.18396909348666668,1.0,tie
DN_NSGAII,MMF3,0.003106423152617077,0.0031021646310895384,0.935398668050766,1.0,tie
DN_NSGAII,MMF4,0.0031461161628748664,0.0031283688520305384,0.935398668050766,1.0,tie
DN_NSGAII,MMF5,0.003101258375743838,0.003169729182702169,0.19807579927146435,1.0,tie
DN_NSGAII,MMF6,0.003108000129855741,0.003143396231465022,0.23665234446525574,1.0,tie
DN_NSGAII,MMF7,0.003579625623213678,0.00360687924090686,1.0,1.0,tie
DN_NSGAII,MMF8,0.0034495366215363792,0.003502483376906268,0.6263462882488966,1.0,tie
Omni,MMF1,0.0026687072417904854,0.0026877303233880786,0.40449450351297855,1.0,tie
Omni,MMF2,0.0030572173420109483,0.0031112322511820767,0.308520769700408,1.0,tie
Omni,MMF3,0.003027267468091441,0.003064836753505498,0.4771064817905426,1.0,tie
Omni,MMF4,0.0026915580026252196,0.0026586735936099774,0.6408254038542509,1.0,tie
Omni,MMF5,0.0026886333326851877,0.002752967659507129,0.04048972204327583,0.28342805430293083,tie
Omni,MMF6,0.00267706002277931,0.0027600106125094965,0.016431212425231934,0.13144969940185547,tie
Omni,MMF7,0.002734240973466485,0.002739240705885107,0.4521643426269293,1.0,tie
Omni,MMF8,0.0028596703325761376,0.00293054734507504,0.0803273618221283,0.4819641709327698,tie
MORingPSO,MMF1,0.0029855802954850954,0.003017527407350667,0.7921590935438871,1.0,tie
MORingPSO,MMF2,0.05759217605030438,0.05759217605030438,1.0,1.0,tie
MORingPSO,MMF3,0.04585048024560562,0.04585048024560562,1.0,1.0,tie
MORingPSO,MMF4,0.002433212180571495,0.002465953361308197,0.03098480962216854,0.2168936673551798,tie
MORingPSO,MMF5,0.002721399671516798,0.0027439387247279157,0.25343610532581806,1.0,tie
MORingPSO,MMF6,0.002450317188319627,0.0024348208104401146,0.9032264724373817,1.0,tie
MORingPSO,MMF7,0.0025805731860321056,0.002603552340939212,0.008142979815602303,0.06514383852481842,tie
MORingPSO,MMF8,0.0029018025191523368,0.0029257093381894507,0.19092952087521553,1.0,tie
