backbone,problem,median_base,median_wfs,p_raw,p_holm,verdict
DN_NSGAII,MMF1,23.367248328221535,23.812536209388693,0.13473508320748806,0.5389403328299522,tie
DN_NSGAII,MMF2,27.311027275773878,24.0223711479995,0.761065473780036,0.9796921759843826,tie
DN_NSGAII,MMF3,27.18084225512984,34.76787471250387,0.4898460879921913,0.9796921759843826,tie
DN_NSGAII,MMF4,12.213931926465463,26.429139784835314,8.009374141693115e-08,5.606561899185181e-07,win
DN_NSGAII,MMF5,8.80772238979975,9.721857981859602,7.994472980499268e-06,4.7966837882995605e-05,win
DN_NSGAII,MMF6,10.411405931984522,11.513186274739594,0.00012333691120147705,0.0006166845560073853,win
DN_NSGAII,MMF7,45.24431099351939,45.68995598431415,0.308520769700408,0.925562309101224,tie
DN_NSGAII,MMF8,5.943354990620681,14.46833235028278,9.313225746154785e-09,7.450580596923828e-08,win
Omni,MMF1,21.05557418541378,21.3686487697748,0.10483990423381329,0.41935961693525314,tie
Omni,MMF2,27.24145068703578,30.545264004101625,0.308520769700408,0.925562309101224,tie
Omni,MMF3,27.583203453762682,25.177831303613566,0.8235769439488649,1.0,tie
Omni,MMF4,12.379572154555127,20.13131909925965,2.348795533180237e-06,1.6441568732261658e-05,win
Omni,MMF5,8.185982901206351,8.794338215978886,0.009301122277975082,0.04650561138987541,win
Omni,MMF6,9.496755202933118,10.727725719089403,0.004031794145703316,0.024190764874219894,win
Omni,MMF7,43.9854432572873,44.371103681451466,0.8393927440047264,1.0,tie
Omni,MMF8,5.122612236950129,10.116636163145227,9.313225746154785e-09,7.450580596923828e-08,win
MORingPSO,MMF1,22.83789121751453,23.348415965075407,5.144625902175903e-06,4.1157007217407227e-05,win
MORingPSO,MMF2,9.032723374984645,9.032723374984645,1.0,1.0,tie
MORingPSO,MMF3,11.854378567083003,11.854378567083003,1.0,1.0,tie
MORingPSO,MMF4,42.29759259012003,44.790688446326094,1.0609626770019531e-05,7.426738739013672e-05,win
MORingPSO,MMF5,12.546256165655588,13.019682262547871,0.00020912662148475647,0.0008365064859390259,win
MORingPSO,MMF6,15.39153844657677,16.00173162370561,2.0798295736312866e-05,0.0001247897744178772,win
MORingPSO,MMF7,48.299367743212706,48.2701823890124,0.7456546742469072,1.0,tie
MORingPSO,MMF8,16.12158729350024,16.432022365245434,0.00013739429414272308,0.0006869714707136154,win
