backbone,insort_lambda,IGDX_insort_med,IGDX_wf_med,IGD_insort_med,IGD_wf_med,IGDX_WF_wins,ties,IGDX_WF_losses
DN_NSGAII,0.05,0.9170668885995744,0.05349288715248766,0.6650649375407459,0.0032424308204024475,8,0,0
DN_NSGAII,0.1,0.7926956274851708,0.05349288715248766,0.6595199364891345,0.0032424308204024475,8,0,0
DN_NSGAII,0.25,0.6841505553275596,0.05349288715248766,0.6325561347013811,0.0032424308204024475,8,0,0
DN_NSGAII,0.5,0.5615884681282715,0.05349288715248766,0.602772808915678,0.0032424308204024475,8,0,0
DN_NSGAII,1.0,0.43318244600186523,0.05349288715248766,0.4811899650916064,0.0032424308204024475,8,0,0
DN_NSGAII,2.0,0.23319151796772788,0.05349288715248766,0.26045590985396,0.0032424308204024475,8,0,0
DN_NSGAII,4.0,0.11089083702424943,0.05349288715248766,0.07965811301392597,0.0032424308204024475,7,1,0
DN_NSGAII,8.0,0.10822279630008257,0.05349288715248766,0.07196904202922348,0.0032424308204024475,7,1,0
DN_NSGAII,16.0,0.10790984080796166,0.05349288715248766,0.0678026673389612,0.0032424308204024475,7,1,0
Omni,0.05,0.9126994383663093,0.06158634834386686,0.666448661067876,0.0028381549055828004,8,0,0
Omni,0.1,0.7861025920128605,0.06158634834386686,0.6555001355996117,0.0028381549055828004,8,0,0
Omni,0.25,0.6781937534483,0.06158634834386686,0.6346694227392702,0.0028381549055828004,8,0,0
Omni,0.5,0.5674829815172711,0.06158634834386686,0.6032433503828256,0.0028381549055828004,8,0,0
Omni,1.0,0.43465571745845516,0.06158634834386686,0.48094873639139407,0.0028381549055828004,8,0,0
Omni,2.0,0.23636081155960315,0.06158634834386686,0.25269637181248283,0.0028381549055828004,8,0,0
Omni,4.0,0.11491505856198118,0.06158634834386686,0.08004095135535952,0.0028381549055828004,6,2,0
Omni,8.0,0.10805776188673041,0.06158634834386686,0.07327934396159255,0.0028381549055828004,4,4,0
Omni,16.0,0.10891247869000463,0.06158634834386686,0.07143806070205957,0.0028381549055828004,4,4,0
