backbone,comparison,metric,primary,win,tie,loss,mean_rel_improvement_%,min_holm_p
DN_NSGAII,DN_NSGAII_WFS vs DN_NSGAII_base,IGDX,True,4,4,0,17.41425396058706,7.450580596923828e-08
DN_NSGAII,DN_NSGAII_WFS vs DN_NSGAII_base,PSP,True,4,4,0,31.741195694007054,7.450580596923828e-08
DN_NSGAII,DN_NSGAII_WFS vs DN_NSGAII_base,IGD,False,0,8,0,-0.8057734514014787,1.0
DN_NSGAII,DN_NSGAII_WFS vs DN_NSGAII_base,HV,False,0,8,0,-0.008022245286907825,1.0
Omni,Omni_WFS vs Omni_base,IGDX,True,3,5,0,10.759718562515102,2.518296241760254e-06
Omni,Omni_WFS vs Omni_base,PSP,True,4,4,0,19.525512422159146,7.450580596923828e-08
Omni,Omni_WFS vs Omni_base,IGD,False,0,8,0,-2.8246912512709264,0.13144969940185547
Omni,Omni_WFS vs Omni_base,HV,False,0,8,0,-0.010920536909030207,0.12368002533912659
MORingPSO,MORingPSO_WFS vs MORingPSO_base,IGDX,True,5,3,0,1.9931860995761719,5.5342912673950195e-05
MORingPSO,MORingPSO_WFS vs MORingPSO_base,PSP,True,5,3,0,2.111878541096008,4.1157007217407227e-05
MORingPSO,MORingPSO_WFS vs MORingPSO_base,IGD,False,0,8,0,-0.4026273671416426,0.06514383852481842
MORingPSO,MORingPSO_WFS vs MORingPSO_base,HV,False,0,6,2,-0.0034150248977805366,0.007614195346832275
