beta,problem,run,IGD,IGDX
0.0,MMF1,1,0.0027924443081154904,0.04199104088112125
0.0,MMF1,9,0.002589547078519754,0.04212549043969836
0.0,MMF1,0,0.0026860349415118554,0.04427311491740347
0.0,MMF1,3,0.0026759595694729015,0.041774851890206695
0.0,MMF1,10,0.002725832369599783,0.040948710668931715
0.0,MMF1,6,0.0026205986098217808,0.04043037943492018
0.0,MMF1,13,0.0027617139178945376,0.040074857829127494
0.0,MMF1,5,0.0028352947572112424,0.042269552163557836
0.0,MMF1,8,0.0027419322527051874,0.04086045657490106
0.0,MMF1,4,0.0025464183086676673,0.03814764672351835
0.0,MMF1,12,0.002616119774405618,0.04126162893678914
0.0,MMF1,11,0.0025344820872353446,0.04024199426454831
0.0,MMF1,2,0.002637177373205519,0.038391501312746476
0.0,MMF1,7,0.002794071373646607,0.038854162950581694
0.0,MMF1,14,0.002760793554471466,0.03961592787204826
0.0,MMF1,16,0.0029404697691567307,0.04263374707576908
0.0,MMF1,15,0.0027850867215117765,0.04003513373274907
0.0,MMF1,18,0.0028661121408840584,0.04140226487509467
0.0,MMF1,24,0.00252516451566074,0.04077097359154184
0.0,MMF1,20,0.0031438148012687094,0.043322323075935816
0.0,MMF1,23,0.0025896243475951675,0.04049460249630492
0.0,MMF1,19,0.003237468773860842,0.03845502369913748
0.0,MMF1,22,0.002469802392840056,0.0405381864086027
0.0,MMF1,21,0.0025473146515894813,0.04276235934203828
0.0,MMF1,17,0.0027219496159876797,0.04327583189362882
0.0,MMF1,26,0.0024981718683031013,0.040028131733484594
0.0,MMF1,27,0.0027553086215893084,0.04200830141695589
0.0,MMF1,25,0.002554856040121617,0.04021263956780385
0.0,MMF2,0,0.002979369828480845,0.007315540875991923
0.0,MMF2,1,0.0036580865880471583,0.009709391420858278
0.0,MMF2,7,0.003009013214830429,0.009840366790017905
0.0,MMF1,28,0.002661787651655998,0.04242473979696305
0.0,MMF2,5,0.0032245562932699695,0.007711843691331161
0.0,MMF2,8,0.0032214081049737925,0.017858648421573278
0.0,MMF2,2,0.002973229932750543,0.008835984759738132
0.0,MMF2,4,0.003060069223366086,0.007748158730134619
0.0,MMF2,6,0.0030677219319265674,0.012692110379969373
0.0,MMF2,3,0.0037612378926220433,0.051814833854519377
0.0,MMF2,9,0.0031537263481957976,0.02258076604751436
0.0,MMF2,10,0.0032323079974780505,0.011620849478144337
0.0,MMF1,29,0.0025588655963833416,0.03956402046024801
0.0,MMF2,11,0.0033831922807325953,0.015616469962894067
0.0,MMF2,12,0.003805697797937346,0.015862464699410786
0.0,MMF2,13,0.002811097753657341,0.007095539544196953
0.0,MMF2,17,0.002977293902237208,0.011795843668153266
0.0,MMF2,16,0.002854115086601532,0.013552799194015188
0.0,MMF2,14,0.0031639556559716663,0.010166689943340877
0.0,MMF2,20,0.0030304841389852655,0.006735308150431446
0.0,MMF2,21,0.002967267224741975,0.0069071567644509585
0.0,MMF2,18,0.0035429333297182205,0.00739067383923523
0.0,MMF2,24,0.0030397709297418194,0.011973877432981894
0.0,MMF2,22,0.003308715163072954,0.010207863774819699
0.0,MMF2,19,0.003118370801337549,0.013390120671709293
0.0,MMF2,15,0.0032202434716831255,0.010860217248606304
0.0,MMF2,25,0.0027384110277318898,0.00961270799756712
0.0,MMF2,23,0.003109221785947061,0.006678905263901728
0.0,MMF2,26,0.0033585055588987904,0.009715703540430644
0.0,MMF2,28,0.00293391207354773,0.011096772074104474
0.0,MMF2,29,0.00276768717415552,0.008178543033474001
0.0,MMF2,27,0.003068011037788341,0.041251274394941015
0.0,MMF5,0,0.0025441034100007758,0.07750066814923146
0.0,MMF5,5,0.002599842522495271,0.07651780959355961
0.0,MMF5,1,0.002525944766781789,0.07519818569275631
0.0,MMF5,2,0.0027873472337526083,0.0716551693925384
0.0,MMF5,4,0.0026686736161034112,0.08710854615957471
0.0,MMF5,6,0.002651564592659205,0.08040685729676593
0.0,MMF5,3,0.002637618824822626,0.07557660443296423
0.0,MMF5,7,0.0026934630555479682,0.0752866307447289
0.0,MMF5,8,0.0029663735298375623,0.08123106006275145
0.0,MMF5,9,0.002636649352843361,0.08661146559869036
0.0,MMF5,11,0.00271757490783683,0.07963444943345425
0.0,MMF5,13,0.0027029767733548404,0.08024439924270496
0.0,MMF5,10,0.002705105841567624,0.07757163238060556
0.0,MMF5,12,0.0027378641874045754,0.07660988490815623
0.0,MMF5,15,0.002755133319964871,0.08572729919376167
0.0,MMF5,16,0.0026370042226081785,0.07618638350174711
0.0,MMF5,17,0.0025694453301618116,0.07834672590345568
0.0,MMF5,14,0.0027647196050434334,0.08485635523791948
0.0,MMF5,18,0.0026407184283381256,0.07938148443242046
0.0,MMF5,19,0.0027763031063147963,0.08639079849376066
0.0,MMF5,20,0.0028633644929247156,0.07862856542585894
0.0,MMF5,22,0.0028264836943333693,0.0853008436014041
0.0,MMF5,23,0.0026549391718372305,0.08296371362689492
0.0,MMF5,21,0.0031944301187655498,0.08964096940589332
0.0,MMF5,24,0.0024762193357837805,0.07886179148649029
0.0,MMF5,25,0.002746780590249382,0.07880442779559355
0.0,MMF5,27,0.0026640076296054376,0.07891770992218183
0.0,MMF5,26,0.0025883491702069117,0.08470237516113491
0.0,MMF5,28,0.002877344823900296,0.08468274213086548
0.25,MMF1,1,0.0027471261006381752,0.04251090801247684
0.0,MMF5,29,0.002619166450247608,0.0749356036916071
0.25,MMF1,0,0.0027878380050459246,0.04211696887143661
0.25,MMF1,2,0.002613552600180683,0.04064650060414607
0.25,MMF1,3,0.0028692220158051543,0.040422594232002625
0.25,MMF1,4,0.002535087295509891,0.04010782726662995
0.25,MMF1,7,0.002832625036618869,0.03930734694955097
0.25,MMF1,5,0.002668342914171634,0.039722143589702996
0.25,MMF1,6,0.0026346640689669876,0.04000137532522439
0.25,MMF1,8,0.002682804159604039,0.03996186329890528
0.25,MMF1,10,0.002673107620042793,0.039009011700589694
0.25,MMF1,9,0.00276610019212681,0.038322964753043066
0.25,MMF1,11,0.002706464330704656,0.040966489532239074
0.25,MMF1,12,0.002682733317879026,0.0421120667557159
0.25,MMF1,13,0.0026734015952755924,0.04076581057194094
0.25,MMF1,14,0.002692369185823176,0.040886761521391285
0.25,MMF1,17,0.0027120943496330885,0.04125597573936936
0.25,MMF1,15,0.002654026944806706,0.03941069162749677
0.25,MMF1,16,0.002806455397670603,0.03877904289774706
0.25,MMF1,19,0.00279167459993553,0.038670057546402535
0.25,MMF1,20,0.0031723771828297497,0.040954951923204634
0.25,MMF1,18,0.002541727071491322,0.03710473466681688
0.25,MMF1,21,0.002773459642411518,0.040089412763002354
0.25,MMF1,22,0.003406758220708195,0.03888784764547853
0.25,MMF1,23,0.002955817334695568,0.03982937011682921
0.25,MMF1,24,0.0028159654646534955,0.04001628124170561
0.25,MMF1,25,0.0027268262755102855,0.04022941528421835
0.25,MMF1,26,0.0027018081370298454,0.04003321707184529
0.25,MMF2,1,0.0030852242179465507,0.01139675246613159
0.25,MMF1,27,0.0026500964882536144,0.043218379752550905
0.25,MMF2,2,0.0030933735282203177,0.013429387837165456
